nom_crise;type_crise;pays;latitude;longitude;intensite;date;population_touchee;accessibilite;description;en_cours;date_fin;source
Tsunami MEXICO MEXICO;Tsunami;MEXICO;20;-105;;20/01/1900;;;location : MEXICO;False;20/01/1900;
Tsunami MEXICO MEXICO;Tsunami;MEXICO;20;-105;;16/05/1900;;;location : MEXICO;False;16/05/1900;
Tsunami PAPUA NEW GUINEA BISMARCK SEA;Tsunami;PAPUA NEW GUINEA;-4;152;;10/09/1900;;;location : BISMARCK SEA;False;10/09/1900;
Tsunami PAPUA NEW GUINEA RABAUL HARBOR;Tsunami;PAPUA NEW GUINEA;-5;148;;17/09/1900;;;location : RABAUL HARBOR;False;17/09/1900;
Tsunami INDONESIA BISMARCK SEA;Tsunami;INDONESIA;-4;140;;07/10/1900;;;location : BISMARCK SEA;False;07/10/1900;
Tsunami VENEZUELA MANCUTO;Tsunami;VENEZUELA;11;-66;;29/10/1900;;;location : MANCUTO;False;29/10/1900;
Tsunami USA MONTEREY BAY, N. CALIFORNIA;Tsunami;USA;36;-120.5;;03/03/1901;;;location : MONTEREY BAY, N. CALIFORNIA;False;03/03/1901;
Tsunami BULGARIA BLACK SEA;Tsunami;BULGARIA;43.4;28.5;;31/03/1901;;;location : BLACK SEA;False;31/03/1901;
Tsunami JAPAN IWATE, JAPAN;Tsunami;JAPAN;39;143;;15/06/1901;;;location : IWATE, JAPAN;False;15/06/1901;
Tsunami JAPAN RYUKYU ISLANDS;Tsunami;JAPAN;28;130.3;;24/06/1901;;;location : RYUKYU ISLANDS;False;24/06/1901;
Tsunami JAPAN OFF NORTHEAST COAST HONSHU;Tsunami;JAPAN;40.5;142.5;;09/08/1901;;;location : OFF NORTHEAST COAST HONSHU;False;09/08/1901;
Tsunami NEW CALEDONIA LOYALTY ISLANDS;Tsunami;NEW CALEDONIA;-22;170;;09/08/1901;;;location : LOYALTY ISLANDS;False;09/08/1901;
Tsunami JAPAN OFF NORTHEAST COAST HONSHU;Tsunami;JAPAN;40.6;142.3;;09/08/1901;;;location : OFF NORTHEAST COAST HONSHU;False;09/08/1901;
Tsunami JAPAN OFF NORTHEAST COAST HONSHU;Tsunami;JAPAN;40.5;142.5;;09/08/1901;;;location : OFF NORTHEAST COAST HONSHU;False;09/08/1901;
Tsunami PHILIPPINES E. LUZON ISLAND;Tsunami;PHILIPPINES;14;121.6;;10/09/1901;;;location : E. LUZON ISLAND;False;10/09/1901;
Tsunami NICARAGUA NICARAGUA;Tsunami;NICARAGUA;11;-86.5;;08/10/1901;;;location : NICARAGUA;False;08/10/1901;
Tsunami USA FOX ISLANDS, ALEUTIAN ISLANDS, AK;Tsunami;USA;51.45;-171.02;;31/12/1901;;;location : FOX ISLANDS, ALEUTIAN ISLANDS, AK;False;31/12/1901;
Tsunami GUATEMALA OCOSA;Tsunami;GUATEMALA;14.71;-91.59;;18/01/1902;;;location : OCOSA;False;18/01/1902;
Tsunami EL SALVADOR EL SALVADOR-GUATEMALA;Tsunami;EL SALVADOR;13.5;-89.5;;26/02/1902;;;location : EL SALVADOR-GUATEMALA;False;26/02/1902;
Tsunami GREECE CENTRAL GREECE (EVOIKOS GULF);Tsunami;GREECE;38.5;23.5;;11/04/1902;;;location : CENTRAL GREECE (EVOIKOS GULF);False;11/04/1902;
Tsunami GUATEMALA OCOS;Tsunami;GUATEMALA;14;-91;;19/04/1902;;;location : OCOS;False;19/04/1902;
Tsunami GREECE AEGEAN SEA;Tsunami;GREECE;40.75;23.25;;05/07/1902;;;location : AEGEAN SEA;False;05/07/1902;
Tsunami PHILIPPINES ILLANA BAY, CELEBES SEA;Tsunami;PHILIPPINES;7.5;123.5;;21/08/1902;;;location : ILLANA BAY, CELEBES SEA;False;21/08/1902;
Tsunami AUSTRALIA KANGAROO ISLAND;Tsunami;AUSTRALIA;-35;138;;19/09/1902;;;location : KANGAROO ISLAND;False;19/09/1902;
Tsunami INDONESIA BANDA SEA;Tsunami;INDONESIA;-3;127.5;;30/03/1903;;;location : BANDA SEA;False;30/03/1903;
Tsunami AUSTRALIA SOUTHEAST AUSTRALIA;Tsunami;AUSTRALIA;-38.43;142.53;;06/04/1903;;;location : SOUTHEAST AUSTRALIA;False;06/04/1903;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-28.5;-71;;07/12/1903;;;location : NORTHERN CHILE;False;07/12/1903;
Tsunami COLOMBIA OFF THE COAST PANAMA-COLOMBIA;Tsunami;COLOMBIA;7;-79;;20/01/1904;;;location : OFF THE COAST PANAMA-COLOMBIA;False;20/01/1904;
Tsunami RUSSIA KAMCHATKA PENINSULA, RUSSIA;Tsunami;RUSSIA;52;159;;25/06/1904;;;location : KAMCHATKA PENINSULA, RUSSIA;False;25/06/1904;
Tsunami RUSSIA KAMCHATKA PENINSULA, RUSSIA;Tsunami;RUSSIA;52;159;;25/06/1904;;;location : KAMCHATKA PENINSULA, RUSSIA;False;25/06/1904;
Tsunami NEW ZEALAND CAPE TURNAGAIN;Tsunami;NEW ZEALAND;-40.4;176.4;;08/08/1904;;;location : CAPE TURNAGAIN;False;08/08/1904;
Tsunami PANAMA BOCAS DEL TORO;Tsunami;PANAMA;9.2;-82.8;;20/12/1904;;;location : BOCAS DEL TORO;False;20/12/1904;
Tsunami GREECE AEGEAN SEA;Tsunami;GREECE;39.66;22.83;;20/01/1905;;;location : AEGEAN SEA;False;20/01/1905;
Tsunami COSTA RICA GULF OF NICOYA;Tsunami;COSTA RICA;9.85;-84.68;;20/01/1905;;;location : GULF OF NICOYA;False;20/01/1905;
Tsunami INDIA KANGRA, INDIA;Tsunami;INDIA;32.597;76.916;;04/04/1905;;;location : KANGRA, INDIA;False;04/04/1905;
Tsunami JAPAN JAPAN:  OFF FUKUSHIMA;Tsunami;JAPAN;37.4;142.6;;06/07/1905;;;location : JAPAN:  OFF FUKUSHIMA;False;06/07/1905;
Tsunami ITALY TYRRHENIAN CALABRIA;Tsunami;ITALY;38.67;16.07;;08/09/1905;;;location : TYRRHENIAN CALABRIA;False;08/09/1905;
Tsunami RUSSIA BLACK SEA;Tsunami;RUSSIA;44.5;37.5;;04/10/1905;;;location : BLACK SEA;False;04/10/1905;
Tsunami GEORGIA CAUCASUS;Tsunami;GEORGIA;42;42;;21/10/1905;;;location : CAUCASUS;False;21/10/1905;
Tsunami GREECE NORTH AEGEAN SEA;Tsunami;GREECE;40.092;24.627;;08/11/1905;;;location : NORTH AEGEAN SEA;False;08/11/1905;
Tsunami PHILIPPINES W. LUZON ISLAND;Tsunami;PHILIPPINES;11;123.5;;08/12/1905;;;location : W. LUZON ISLAND;False;08/12/1905;
Tsunami ECUADOR OFF COAST;Tsunami;ECUADOR;0.955;-79.369;;31/01/1906;;;location : OFF COAST;False;31/01/1906;
Tsunami USA N. CALIFORNIA;Tsunami;USA;37.7;-122.5;;18/04/1906;;;location : N. CALIFORNIA;False;18/04/1906;
Tsunami CHILE CENTRAL CHILE;Tsunami;CHILE;-33;-72;;17/08/1906;;;location : CENTRAL CHILE;False;17/08/1906;
Tsunami PAPUA NEW GUINEA SOLOMON SEA;Tsunami;PAPUA NEW GUINEA;-7;149;;14/09/1906;;;location : SOLOMON SEA;False;14/09/1906;
Tsunami PAPUA NEW GUINEA BISMARCK SEA;Tsunami;PAPUA NEW GUINEA;-4;149;;02/10/1906;;;location : BISMARCK SEA;False;02/10/1906;
Tsunami GHANA GOLD COAST;Tsunami;GHANA;6.5;0.3;;20/11/1906;;;location : GOLD COAST;False;20/11/1906;
Tsunami PERU S. PERU;Tsunami;PERU;-18;-71;;26/12/1906;;;location : S. PERU;False;26/12/1906;
Tsunami INDONESIA NW. SUMATRA;Tsunami;INDONESIA;2.681;95.53;;04/01/1907;;;location : NW. SUMATRA;False;04/01/1907;
Tsunami JAMAICA JAMAICA;Tsunami;JAMAICA;18.667;-76.237;;14/01/1907;;;location : JAMAICA;False;14/01/1907;
Tsunami AUSTRALIA BASS STRAIT;Tsunami;AUSTRALIA;-40.35;149.35;;31/01/1907;;;location : BASS STRAIT;False;31/01/1907;
Tsunami INDONESIA KARAKELONG, TALAUD ISLANDS;Tsunami;INDONESIA;3;122;;29/03/1907;;;location : KARAKELONG, TALAUD ISLANDS;False;29/03/1907;
Tsunami MEXICO S. MEXICO;Tsunami;MEXICO;17;-100;;14/04/1907;;;location : S. MEXICO;False;14/04/1907;
Tsunami USA SKAGWAY, AK;Tsunami;USA;59.5;-135.5;;24/09/1907;;;location : SKAGWAY, AK;False;24/09/1907;
Tsunami ITALY IONIAN CALABRIA;Tsunami;ITALY;38.133;16.017;;23/10/1907;;;location : IONIAN CALABRIA;False;23/10/1907;
Tsunami PAPUA NEW GUINEA BISMARCK SEA;Tsunami;PAPUA NEW GUINEA;-3.1;142.5;;15/12/1907;;;location : BISMARCK SEA;False;15/12/1907;
Tsunami INDONESIA SW. SUMATRA;Tsunami;INDONESIA;-2;100;;06/02/1908;;;location : SW. SUMATRA;False;06/02/1908;
Tsunami USA PRINCE WILLIAM SOUND, AK;Tsunami;USA;61;-146.2;;14/02/1908;;;location : PRINCE WILLIAM SOUND, AK;False;14/02/1908;
Tsunami INDONESIA TIMOR SEA;Tsunami;INDONESIA;-10;129;;23/03/1908;;;location : TIMOR SEA;False;23/03/1908;
Tsunami UKRAINE CRIMEA;Tsunami;UKRAINE;44;34;;31/05/1908;;;location : CRIMEA;False;31/05/1908;
Tsunami USA HAWAII;Tsunami;USA;19;-155;;21/09/1908;;;location : HAWAII;False;21/09/1908;
Tsunami ITALY MESSINA STRAIT, IONIAN SEA;Tsunami;ITALY;38.17;15.58;;28/12/1908;;;location : MESSINA STRAIT, IONIAN SEA;False;28/12/1908;
Tsunami JAPAN OFF BOSO PENINSULA;Tsunami;JAPAN;34.5;141.5;;12/03/1909;;;location : OFF BOSO PENINSULA;False;12/03/1909;
Tsunami JAPAN OFF BOSO PENINSULA;Tsunami;JAPAN;34.5;141.5;;13/03/1909;;;location : OFF BOSO PENINSULA;False;13/03/1909;
Tsunami INDONESIA SUMATRA;Tsunami;INDONESIA;-2;101;;03/06/1909;;;location : SUMATRA;False;03/06/1909;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-26.5;-70.5;;08/06/1909;;;location : NORTHERN CHILE;False;08/06/1909;
Tsunami MEXICO S. MEXICO;Tsunami;MEXICO;16.8;-99.8;;30/07/1909;;;location : S. MEXICO;False;30/07/1909;
Tsunami JAPAN ANEGAWA, JAPAN;Tsunami;JAPAN;35.4;136.3;;14/08/1909;;;location : ANEGAWA, JAPAN;False;14/08/1909;
Tsunami USA UTAH;Tsunami;USA;41.8;-112.7;;06/10/1909;;;location : UTAH;False;06/10/1909;
Tsunami USA TERRITORY GUAM, MARIANA ISLANDS;Tsunami;USA TERRITORY;12.5;145;;09/12/1909;;;location : GUAM, MARIANA ISLANDS;False;09/12/1909;
Tsunami PAPUA NEW GUINEA MATUPI HARBOR;Tsunami;PAPUA NEW GUINEA;-4.25;152.25;;25/02/1910;;;location : MATUPI HARBOR;False;25/02/1910;
Tsunami VANUATU VANUATU ISLANDS;Tsunami;VANUATU;-14;166.5;;10/11/1910;;;location : VANUATU ISLANDS;False;10/11/1910;
Tsunami INDONESIA SULAWESI;Tsunami;INDONESIA;4;127;;18/12/1910;;;location : SULAWESI;False;18/12/1910;
Tsunami PHILIPPINES SULU SEA;Tsunami;PHILIPPINES;9;125.5;;30/12/1910;;;location : SULU SEA;False;30/12/1910;
Tsunami ALBANIA OCHRIDA LAKE;Tsunami;ALBANIA;40.9;20.8;;18/02/1911;;;location : OCHRIDA LAKE;False;18/02/1911;
Tsunami TOGO GOLD COAST;Tsunami;TOGO;6.1;1.2;;11/05/1911;;;location : GOLD COAST;False;11/05/1911;
Tsunami MEXICO MEXICO;Tsunami;MEXICO;18.362;-102.471;;07/06/1911;;;location : MEXICO;False;07/06/1911;
Tsunami JAPAN RYUKYU ISLANDS;Tsunami;JAPAN;28;130;;15/06/1911;;;location : RYUKYU ISLANDS;False;15/06/1911;
Tsunami PHILIPPINES PHILIPPINE TRENCH;Tsunami;PHILIPPINES;9;126;;12/07/1911;;;location : PHILIPPINE TRENCH;False;12/07/1911;
Tsunami CHILE NORTHERN CHILE;Tsunami;CHILE;-20;-72;;15/09/1911;;;location : NORTHERN CHILE;False;15/09/1911;
Tsunami USA PRINCE WILLIAM SOUND, AK;Tsunami;USA;60.5;-149;;22/09/1911;;;location : PRINCE WILLIAM SOUND, AK;False;22/09/1911;
Tsunami GREECE IONIAN SEA;Tsunami;GREECE;37.928;21.013;;24/01/1912;;;location : IONIAN SEA;False;24/01/1912;
Tsunami JAPAN SANRIKU;Tsunami;JAPAN;40.5;142;;08/06/1912;;;location : SANRIKU;False;08/06/1912;
Tsunami TURKEY MARMARA SEA;Tsunami;TURKEY;40.73;27.121;;09/08/1912;;;location : MARMARA SEA;False;09/08/1912;
