Disaster No;Disaster Type;Event Name;Country;Start Year;Start Month;Start Day;End Year;End Month;End Day;Total Deaths;Total Affected;Total;latitude;longitude;intensite;accessibilité;source;accessibilite
2024-0847-UGA;Epidemic;Mpox;Uganda;2024;2.0;;2025;2;23.0;;3391;3391;1.3733;32.2903;7.0;;Estimation basée sur données géographiques (OCHA, WHO) et évaluation moyenne des épidémies de Mpox en Afrique (2022-2024);0.6
2024-0962-MOZ;Epidemic;Cholera;Mozambique;2024;10.0;;2025;4;7.0;42.0;1773;1815;-18.6657;35.5296;6.0;;Estimation basée sur des données géographiques (centre du Mozambique) et des rapports humanitaires (OCHA, WHO) sur les épidémies de choléra dans la région.;0.6
2025-0272-KGZ;Epidemic;Measles & Rubella;Kyrgyzstan;2025;3.0;17.0;2025;6;17.0;9.0;8558;8567;42.8746;74.5698;6.0;;Estimation basée sur données géographiques (Bichkek, capitale du Kirghizistan) et contexte épidémique (OMS, EM-DAT, rapports UNICEF régionaux);0.7
2025-0694-SOM;Epidemic;Diphteria;Somalia;2025;;;2025;9;;87.0;1672;1759;5.1521;46.1996;7.0;;Estimation basée sur les données géographiques de la Somalie (centre approximatif) et évaluation des épidémies de diphtérie (OMS, rapports humanitaires 2023-2024). L'accessibilité est faible en raison des conflits et des infrastructures limitées.;0.3
2019-0531-WSM;Epidemic;Measles;Samoa;2019;8.0;;2020;1;;83.0;5617;5700;-13.759;-172.1046;8.0;;OCHA, WHO, ReliefWeb (estimations basées sur les rapports de crise 2019-2020 à Samoa);0.7
2016-0289-SSD;Epidemic;Cholera;South Sudan;2016;1.0;;2017;1;20.0;68.0;3826;3894;7.0;30.0;7.0;;EM-DAT (Centre for Research on the Epidemiology of Disasters) + estimations basées sur les conditions géographiques et logistiques du Soudan du Sud (2016-2017);0.3
2015-0579-AGO;Epidemic;Yellow fever;Angola;2015;12.0;5.0;2016;10;20.0;384.0;4599;4983;-8.8383;13.2344;7.0;;Estimations basées sur des données géographiques (Luanda, Angola) et analyses d'épidémies similaires (OMS, EM-DAT);0.6
2023-0385-PER;Epidemic;Dengue;Peru;2023;6.0;;2023;6;;176.0;110000;110176;-9.189967;-75.015152;7.0;;EM-DAT (estimations basées sur données géographiques et épidémiologiques générales pour le Pérou);0.6
2022-0282-LBR;Epidemic;Measles;Liberia;2022;4.0;21.0;2022;7;20.0;71.0;5528;5599;6.4281;-9.4295;7.0;;EM-DAT (estimations basées sur données géographiques et contexte humanitaire Liberia);0.4
2021-0617-NER;Epidemic;Cholera;Niger;2021;8.0;9.0;2021;8;24.0;166.0;5591;5757;13.5116;2.1254;7.0;;EM-DAT (Centre for Research on the Epidemiology of Disasters) + estimations géospatiales (Niger, région de Maradi/Zinder);0.4
2021-0281-KEN;Epidemic;Dengue;Kenya;2021;3.0;;2021;4;;;1352253;1352253;-1.2921;36.8219;7.0;;Estimation basée sur données géographiques (Nairobi, épicentre probable) et rapports OCHA/WHO (2021) sur l'épidémie de dengue au Kenya.;0.6
2021-0599-COD;Epidemic;Meningitis;Democratic Republic of the Congo;2021;9.0;7.0;2021;12;20.0;205.0;2662;2867;-4.0383;21.7587;7.0;;Estimation basée sur les données géographiques de la RDC (Kasaï/Centrale) et rapports OCHA/WHO (2021) sur les épidémies de méningite en zones rurales.;0.4
2022-0858-KEN;Epidemic;Cholera;Kenya;2022;10.0;19.0;2023;10;30.0;202.0;12123;12325;-1.2921;36.8219;7.0;;Estimation basée sur les données de l'OCHA, EM-DAT et rapports sanitaires du Kenya (2022-2023);0.6
2023-0166-NGA;Epidemic;Diphteria;Nigeria;2023;1.0;20.0;2024;8;26.0;1055.0;21511;22566;9.082;8.6753;7.0;;Estimation basée sur les données épidémiologiques du Nigeria (OCHA, WHO, EM-DAT) et géolocalisation moyenne des foyers de diphtérie en 2023-2024.;0.6
