Année;Pays;Description;Personnes touchées
1945;Viêt Nam;;1200000
1947;Union soviétique;;1250000
1958;Ethiopia;Famine in Tigray[39];100000
1959;China (mainland);The Great Chinese Famine[239][240][241] Some researchers also include the year 1958 or 1962.[242];35000000
1966;Indonesia;Lombok, drought and malnutrition, exacerbated by restrictions on regional rice trade;50000
1966;Burma;Rice crisis[246];
1967;Biafra;Famine caused by Nigerian Civil War and blockade;2000000
1968;Mauritania, Mali, Chad, Niger and Burkina Faso;Sahel drought created a famine that killed a million people[247];1000000
1970;Madagascar;Fourth Kere;
1971;Afghanistan;Afghanistan drought;
1972;Burundi;Politically induced famine;300000
1972;Ethiopia;"Famine in Ethiopia caused by drought and poor governance; failure of the government to handle this crisis led to the fall of Haile Selassie and to Derg rule";60000
1973;Darfur, Sudan;Darfur drought;1000
1974;Bangladesh;Bangladesh famine of 1974[250];760000
1975; China; Floods failure of relief;230000
1975; East Timor; Indonesian counterinsurgency;103000
1975;Cambodia;Famine under Khmer Rouge rule. A maximum estimate of 500,000 Cambodians lost their lives to famine;500000
1980;Uganda;Caused by drought and conflict[249];30000
1980;Madagascar;Fifth Kere;
1982;Madagascar;Sixth Kere;230000
1982;Mozambique;Famine caused by the Mozambican Civil War;100000
1983;Ethiopia;1983–1985 famine in Ethiopia[253];500000
1984;Sudan;Famine caused by drought, economic crisis and the Second Sudanese Civil War;240000
1986;Madagascar;Seventh Kere;7600
1988;Sudan;Famine caused by the Second Sudanese Civil War;100000
1988;Madagascar;Eighth Kere;
1991;Somalia;Famine in Somalia caused by drought and civil war[249];300000
1992;Madagascar;Ninth Kere;
1993;Sudan;1993 Sudan famine;20000
1995;North Korea;North Korean famine.[257][258] Scholars estimate 600,000 died of starvation (other estimates range from 200,000 to 3.5 million).[259];1800000
1995;Madagascar;Tenth Kere;
1997;Madagascar;Eleventh Kere;
1998;Sudan;1998 Sudan famine caused by war and drought;70000
1998;Afghanistan;1998 Afghanistan famine;
1998;Ethiopia;Famine in Ethiopia. The situation worsened by Eritrean–Ethiopian War;
1998;Democratic Republic of the Congo;Second Congo War. 2.7 million people died, mostly from starvation and disease;2700000
2002; Malawi; Drought relief failure;3000
2003;Sudan;Famine during the War in Darfur;200000
2003; Uganda; Counterinsurgency pillage;100000
2004;Madagascar;Twelfth Kere;
2005;Niger and West Africa;2005–2006 Niger food crisis. At least three million were affected in Niger and 10 million throughout West Africa[260][261][262];47000
2009;Madagascar;Thirteenth Kere;
2011;Somalia;Famine in Somalia, brought on by the 2011 East Africa drought[264];285000
2012;Senegal, Gambia, Niger, Mauritania, Mali, Burkina Faso;Famine in West Africa, brought on by the 2012 Sahel drought[265];
2012; Syria; War siege destruction of essential infrastructure;268000
2014;Madagascar;Fourteenth Kere;
2016;Yemen;Famine in Yemen, arising from the Yemeni Civil War and the subsequent blockade of Yemen by Saudi Arabia;200000
2017;South Sudan, Unity State and Somalia;Famine in South Sudan.[267] Famine in Somalia, due to 2017 Somali drought.;
2016; Nigeria; Counterinsurgency siege requisitioning;340000
2020;Tigray, Ethiopia;Famine in the Tigray War[268];175000
2021;Madagascar;Fifteenth Kere (2021–present Madagascar famine);
2021;Afghanistan;Aftermath of the War in Afghanistan;
2020; Central African Republic; War state failure;553000
2021; Ethiopia; Forced starvation siege destruction of essential infrastructure pillage;336000
2023;Nagorno-Karabakh;Blockade of Nagorno-Karabakh;1
2023;Gaza Strip, Palestine;Gaza Strip famine;
2024;Haiti;2024 famine in Haiti;
2024;Sudan;Famine in Sudan (2024–present);1500
2025;Syria;2025 hunger crisis in Syria;
