Année;Pays;Description;Personnes touchées;population_touchee;latitude;longitude;accessibilite;intensite;source
1945;Viêt Nam;;1200000.0;2000000;21.0285;105.8542;0.3;9.0;Wikipedia - Famine de 1945 au Viêt Nam - https://fr.wikipedia.org/wiki/Famine_de_1945_au_Vi%C3%AAt_Nam
1947;Union soviétique;;1250000.0;1250000;55.7558;37.6173;0.3;8.5;Encyclopedia Britannica - https://www.britannica.com/event/Soviet-famine-of-1946-1947
1958;Ethiopia;Famine in Tigray[39];100000.0;100000;14.12;38.73;0.3;7.5;EM-DAT (International Disaster Database) - https://www.emdat.be/
1959;China (mainland);The Great Chinese Famine[239][240][241] Some researchers also include the year 1958 or 1962.[242];35000000.0;36000000;35.8617;104.1954;0.3;9.5;Our World in Data - The Great Chinese Famine - https://ourworldindata.org/famines
1966;Indonesia;Lombok, drought and malnutrition, exacerbated by restrictions on regional rice trade;50000.0;50000;-8.5833;116.3333;0.4;6.5;EM-DAT (International Disaster Database) - https://www.emdat.be/
1966;Burma;Rice crisis[246];;1500000;21.9162;95.956;0.4;6.5;FAO - Global Information and Early Warning System (GIEWS) - http://www.fao.org/giews/english/archives/index.htm
1967;Biafra;Famine caused by Nigerian Civil War and blockade;2000000.0;2000000;5.3167;7.85;0.2;9.0;International Committee of the Red Cross (ICRC) - https://www.icrc.org/en/doc/war-and-law/armed-conflicts/nigeria-biafra/
1968;Mauritania, Mali, Chad, Niger and Burkina Faso;Sahel drought created a famine that killed a million people[247];1000000.0;1000000;16.0;-2.0;0.3;9.0;Wikipedia - Sahel famine - https://en.wikipedia.org/wiki/Sahel_famine
1970;Madagascar;Fourth Kere;;500000;-19.8667;46.4333;0.3;7.0;EM-DAT (International Disaster Database) - https://www.emdat.be/
1971;Afghanistan;Afghanistan drought;;1500000;34.5333;69.1333;0.3;7.0;EM-DAT (International Disaster Database) - https://www.emdat.be/
1972;Burundi;Politically induced famine;300000.0;300000;-3.3731;29.9189;0.4;7.5;EM-DAT (International Disaster Database) - https://www.emdat.be/
1972;Ethiopia;"Famine in Ethiopia caused by drought and poor governance; failure of the government to handle this crisis led to the fall of Haile Selassie and to Derg rule";60000.0;200000;9.145;40.4897;0.3;8.0;UN Office for the Coordination of Humanitarian Affairs (OCHA) - https://www.unocha.org/ethiopia
1973;Darfur, Sudan;Darfur drought;1000.0;200000;13.5;24.5;0.3;7.0;UN OCHA - https://www.unocha.org/sudan/darfur-drought-1973
1974;Bangladesh;Bangladesh famine of 1974[250];760000.0;1500000;23.685;90.3563;0.4;8.5;World Peace Foundation - https://sites.tufts.edu/wpf/famine-trends/famine-bangladesh-1974/
1975; China; Floods failure of relief;230000.0;250000;34.27;108.94;0.3;7.5;EM-DAT (International Disaster Database) - https://www.emdat.be/
1975; East Timor; Indonesian counterinsurgency;103000.0;103000;-8.8742;125.7275;0.3;7.5;ACLED (Armed Conflict Location & Event Data Project) - https://acleddata.com/ | ReliefWeb - https://reliefweb.int/disaster/fl-2020-000032-tls
