SID;NAME;type_tempete;Pays;LAT;LON;intensite;ISO_TIME;population_touchee;accessibilite;Unnamed: 10;Unnamed: 11;source;pays_concerne
1945134N19136;BETTY;typhon;;24.8;141.1;7.0;15/05/1945;50000.0;0.3;;False;Japan Meteorological Agency (JMA) - Archives historiques (estimation basée sur les données disponibles pour la région et la période) - https://www.jma.go.jp/jma/indexe.html;Japon
1945196N09133;OPAL;typhon;;29.9;129.0;7.0;20/07/1945;50000.0;0.4;;False;NOAA Historical Hurricane Tracks - https://coast.noaa.gov/hurricanes/?storm=19-1945;Japon
1945204N09137;EDNA;typhon;;9.4;137.0;7.0;23/07/1945;50000.0;0.3;;False;NOAA Historical Hurricane Tracks - https://coast.noaa.gov/hurricanes/?storm=1945204N09137;Philippines
1945211N23129;EVA;typhon;;29.3;127.3;7.0;03/08/1945;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Japon
1945228N17161;GRACE;typhon;;33.7;141.4;7.0;22/08/1945;50000.0;0.6;;False;Japan Meteorological Agency (JMA) - https://www.jma.go.jp/jma/indexe.html;Japon
1945229N15137;SUSAN;typhon;;36.8;132.9;7.0;27/08/1945;500000.0;0.6;;False;Japan Meteorological Agency (JMA) - Archives historiques - https://www.jma.go.jp/jma/indexe.html;Japon
1945250N12128;URSULA;typhon;;12.4;128.0;7.0;07/09/1945;500000.0;0.4;;False;NOAA Historical Hurricane Tracks - https://coast.noaa.gov/hurricanes/?storm=1945250N12128;Philippines
1945253N08157;IDA;typhon;;29.0;130.0;7.0;17/09/1945;50000.0;0.4;;False;NOAA Historical Hurricane Tracks - https://coast.noaa.gov/hurricanes/?storm=19-1945253N08157;Japon
1945271N06160;KATE;typhon;;24.0;135.7;7.0;03/10/1945;50000.0;0.4;;False;NOAA Historical Hurricane Tracks - https://coast.noaa.gov/hurricanes/?storm=1945271N06160;Japon
1945275N09161;LOUISE;typhon;;12.8;149.0;7.0;04/10/1945;50000.0;0.3;;False;NOAA Historical Hurricane Tracks - https://coast.noaa.gov/hurricanes/?storm=1945275N09161;Guam
1946086N12153;BARBARA;typhon;;23.5;126.7;7.0;06/04/1946;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Japon
1946178N09144;GINNY;typhon;;19.6;142.0;7.0;01/07/1946;5000.0;0.3;;False;NOAA Historical Hurricane Tracks - https://coast.noaa.gov/hurricanes/;Japon
1946250N12150;OPAL;typhon;;12.3;150.0;7.0;06/09/1946;50000.0;0.3;;False;NOAA Historical Hurricane Tracks - https://coast.noaa.gov/hurricanes/?storm=1946250N12150;Philippines
1946251N11165;PRISCILL;typhon;;12.7;160.5;7.0;08/09/1946;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Philippines
1946261N11161;QUERIDA;typhon;;12.2;156.3;7.0;19/09/1946;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Philippines
1946292N11131;ALMA;typhon;;24.3;133.7;7.0;23/10/1946;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Japon
1946309N12126;BETTY;typhon;;23.6;130.1;7.0;08/11/1946;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Philippines
1946317N14142;DIANNE;typhon;;22.4;137.4;7.0;18/11/1946;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Japon
1947133N16138;BERNIDA;typhon;;31.0;144.1;7.0;16/05/1947;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Japon
1947168N11132;CAROL;typhon;;13.4;128.7;7.0;18/06/1947;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Philippines
1947188N15137;DONNA;typhon;;14.5;136.9;7.0;06/07/1947;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Philippines
1947207N18133;FAITH;typhon;;27.5;125.0;7.0;30/07/1947;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Japon
1947217N20136;GWEN;typhon;;20.0;136.3;7.0;04/08/1947;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Japon
1947236N09138;INEZ;typhon;;29.0;118.0;7.0;30/08/1947;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Chine
1947248N13135;JOYCE;typhon;;16.3;128.1;7.0;08/09/1947;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Philippines
1947254N17143;KATHLEEN;typhon;;22.6;135.2;7.0;12/09/1947;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Japon
1947272N21133;NANETTE;typhon;;20.6;130.5;7.0;30/09/1947;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Philippines
1947275N14142;PAULINE;typhon;;14.0;141.7;7.0;01/10/1947;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Guam
1947275N14155;OLIVE;ouragan;;17.9;152.0;5.0;03/10/1947;5000.0;0.3;;False;NOAA Historical Hurricane Tracks - https://coast.noaa.gov/hurricanes/?redirect=301ocm;États-Unis (Hawaï)
1947279N23145;ROSALIND;typhon;;29.6;142.5;7.0;13/10/1947;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Japon
1947286N11152;ALICE;typhon;;26.7;153.2;7.0;20/10/1947;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Japon
1947290N15141;BEATRICE;typhon;;25.2;146.7;7.0;20/10/1947;5000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Japon
1947306N08140;DORA;typhon;;11.1;137.1;7.0;03/11/1947;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Philippines
1947316N09141;FLORA;typhon;;12.1;127.0;7.0;14/11/1947;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Philippines
1947321N07145;GLADYS;typhon;;7.3;144.5;7.0;17/11/1947;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Philippines
1947326N24136;HANNAH;typhon;;25.2;137.4;7.0;22/11/1947;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Japon
1947334N10129;IRENE;typhon;;9.9;129.0;7.0;29/11/1947;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Philippines
1947356N08141;JEAN;typhon;;12.7;125.6;7.0;25/12/1947;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Philippines
1948011N07147;KAREN;typhon;;16.9;141.1;7.0;18/01/1948;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Japon
1948150N12130;MABEL;typhon;;25.0;133.0;7.0;01/06/1948;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Japon
1948161N15138;NADINE;typhon;;21.8;133.4;7.0;11/06/1948;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Japon
1948183N11145;PEARL;typhon;;14.4;132.2;7.0;03/07/1948;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Philippines
1948223N18155;DOLORES;ouragan;;18.1;155.0;7.0;10/08/1948;50000.0;0.3;;False;National Hurricane Center (HURDAT2) - https://www.nhc.noaa.gov/data/;États-Unis (Hawaï)
1948240N14139;GERTRUDE;typhon;;21.4;111.0;7.0;03/09/1948;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Chine
1948255N14155;IONE;typhon;;34.0;137.8;7.0;16/09/1948;500000.0;0.6;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncdc.noaa.gov/ibtracs/;Japon
1948268N15126;KIT;typhon;;20.4;110.0;7.0;27/09/1948;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Chine
1948273N24144;LIBBY;typhon;;34.6;140.1;7.0;06/10/1948;50000.0;0.6;;False;Japan Meteorological Agency (JMA) - Archives historiques - https://www.jma.go.jp/jma/indexe.html;Japon
1948278N25157;MARTHA;typhon;;29.9;147.3;7.0;07/10/1948;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Japon
1948290N15120;OLGA;typhon;;17.8;109.2;7.0;19/10/1948;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Vietnam
1948301N16148;PAT;typhon;;25.7;138.6;7.0;30/10/1948;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Japon
1948318N11152;AGNES;typhon;;28.4;131.4;7.0;18/11/1948;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Japon
1949163N07145;DELLA;typhon;;25.4;127.2;7.0;20/06/1949;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Japon
1949181N06140;ELAINE;typhon;;24.0;111.5;7.0;10/07/1949;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Chine
1949199N11139;GLORIA;typhon;;30.4;121.0;7.0;24/07/1949;500000.0;0.6;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Chine
1949239N21155;KITTY;typhon;;35.9;139.3;7.0;31/08/1949;500000.0;0.7;;False;Japan Meteorological Agency (JMA) - Archives historiques - https://www.jma.go.jp/jma/indexe.html;Japon
1949243N17145;LISE;typhon;;44.4;155.4;7.0;09/09/1949;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Japon
1949245N20152;MADELINE;typhon;;35.2;152.1;7.0;05/09/1949;50000.0;0.4;;False;NOAA Historical Hurricane Tracks - https://coast.noaa.gov/hurricanes/?storm=19-1949;Japon
1949252N17143;NELLY;typhon;;23.9;121.7;7.0;14/09/1949;500000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Taïwan
1949272N07138;OMELIA;typhon;;9.9;134.2;7.0;29/09/1949;50000.0;0.3;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Philippines
1949293N12142;PATRICIA;typhon;;25.0;130.2;7.0;26/10/1949;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - NOAA - https://www.ncei.noaa.gov/products/international-best-track-archive;Japon
1949313N06137;RENA;typhon;;19.0;113.7;7.0;14/11/1949;50000.0;0.4;;False;International Best Track Archive for Climate Stewardship (IBTrACS) - https://www.ncdc.noaa.gov/ibtracs/;Chine
