pays,latitude,longitude,population
Afghanistan,33.9391,66.7095,38928346
Afrique du Sud,-30.5595,22.9375,59308690
Albanie,41.1533,20.1683,2877797
Algérie,28.0339,1.6596,43851044
Allemagne,51.1657,10.4515,83783942
Andorre,42.5462,1.6016,77265
Angola,-11.2027,17.8739,32866272
Antigua-et-Barbuda,17.0608,-61.7964,97929
Arabie Saoudite,23.8859,45.0792,34813871
Argentine,-38.4161,-63.6167,45195774
Arménie,40.0691,45.0382,2963243
Australie,-25.2744,133.7751,25499884
Autriche,47.5162,14.5501,9006398
Azerbaïdjan,40.1431,47.5769,10139177
Bahamas,25.0343,-77.3963,393244
Bahreïn,26.0667,50.5577,1701575
Bangladesh,23.6850,90.3563,164689383
Barbade,13.1939,-59.5432,287375
Belgique,50.5039,4.4699,11589623
Belize,17.1899,-88.4976,397628
Bénin,9.3077,2.3158,12123200
Bhoutan,27.5142,90.4336,771608
Biélorussie,53.7098,27.9534,9449323
Bolivie,-16.2902,-63.5887,11673021
Bosnie-Herzégovine,43.9159,17.6791,3280819
Botswana,-22.3285,24.6849,2351627
Brésil,-14.2350,-51.9253,212559417
Brunei,4.5353,114.7277,437479
Bulgarie,42.7339,25.4858,6948445
Burkina Faso,12.2383,-1.5616,20903273
Burundi,-3.3731,29.9189,11890784
Cambodge,12.5657,104.9910,16718965
Cameroun,7.3697,12.3547,26545863
Canada,56.1304,-106.3468,37742154
Cap-Vert,16.5388,-24.0132,555987
Chili,-35.6751,-71.5430,19116201
Chine,35.8617,104.1954,1439323776
Chypre,35.1264,33.4299,1207359
Colombie,4.5709,-74.2973,50882891
Comores,-11.6455,43.3333,869601
Congo,-0.2280,15.8277,5518087
République démocratique du Congo,-4.0383,21.7587,89561403
Corée du Nord,40.3399,127.5101,25778816
Corée du Sud,35.9078,127.7669,51269185
Costa Rica,9.7489,-83.7534,5094118
Côte d'Ivoire,7.5400,-5.5471,26378274
Croatie,45.1000,15.2000,4105267
Cuba,21.5218,-77.7812,11326616
Danemark,56.2639,9.5018,5792202
Djibouti,11.8251,42.5903,988000
Dominique,15.4150,-61.3710,71986
République dominicaine,18.7357,-70.1627,10847910
Égypte,26.8206,30.8025,102334404
Émirats arabes unis,23.4241,53.8478,9890402
Équateur,-1.8312,-78.1834,17643054
Érythrée,15.1794,39.7823,3546421
Espagne,40.4637,-3.7492,46754778
Estonie,58.5953,25.0136,1326535
Eswatini,-26.5225,31.4659,1160164
États-Unis,37.0902,-95.7129,331002651
Éthiopie,9.1450,38.7667,114963588
Fidji,-16.5783,179.4144,896445
Finlande,64.9631,26.0961,5540720
France,46.2276,2.2137,65273511
Gabon,-0.8037,11.6094,2225734
Gambie,13.4432,-15.3101,2416668
Géorgie,42.3154,43.3569,3989167
Ghana,7.9465,-1.0232,31072940
Grèce,39.0742,21.8243,10423054
Grenade,12.1165,-61.6790,112523
Guatemala,15.7835,-90.2308,17915568
Guinée,9.9456,-9.6966,13132795
Guinée équatoriale,1.6508,10.2679,1402985
Guinée-Bissau,11.8037,-15.1804,1968001
Guyana,4.8604,-58.9302,786552
Haïti,18.9712,-72.2852,11402528
Honduras,15.2000,-86.2419,9904607
