Search Parameters;Year;Month;Day;Location Name;Latitude;Longitude;Mag;population_touchee;accessibilite
;1950;1;19;IRAN: BUSHIRE;27.255;53.029;5.7;5000;0.6
;1950;1;30;CHILE:  SOUTHERN;-53.5;-71.5;7.0;5000;0.4
;1950;2;2;CHINA:  YUNNAN PROVINCE;21.7;100.1;7.0;15000;0.4
;1950;2;4;TURKEY;40.0;40.0;;1500;0.4
;1950;2;28;RUSSIA:  SEA OF OKHOTSK;46.0;144.0;7.9;5000;0.3
;1950;3;7;BRAZIL;-8.0;-71.0;;5000;0.3
;1950;3;14;N. NEW ZEALAND;-37.8;177.2;5.8;5000;0.7
;1950;4;30;PANAMA;6.5;-83.0;;1000;0.4
;1950;5;16;PERU;-15.0;-69.5;7.9;10000;0.3
;1950;5;21;PERU:  CUSCO;-13.5;-72.0;6.0;5000;0.4
;1950;6;19;INDONESIA:  JAVA:  GRESIK;-6.0;113.0;6.5;5000;0.6
;1950;7;9;COLOMBIA:  ANBOLEDAS;7.79;-72.61;6.1;5000;0.4
;1950;8;3;VENEZUELA: EL TOCUYO;9.71;-69.819;6.4;10000;0.6
;1950;8;5;ECUADOR;-1.5;-78.2;6.8;10000;0.4
;1950;8;15;INDIA-CHINA;28.5;96.5;8.6;1500000;0.3
;1950;9;13;CHINA:  YUNNAN PROVINCE;23.5;103.1;5.8;15000;0.4
;1950;10;5;COSTA RICA-NICARAGUA;11.0;-85.0;7.7;15000;0.6
;1950;10;8;INDONESIA:  SERAM;-3.8;128.3;7.6;10000;0.3
;1950;10;23;GUATEMALA:  SAN MARCOS;14.31;-91.917;7.5;15000;0.4
;1950;11;2;INDONESIA:  BANDA SEA;-6.5;129.5;8.1;5000;0.3
;1950;11;8;SOLOMON ISLANDS:  SOLOMON SEA;-10.0;159.5;7.3;5000;0.4
;1950;11;17;MEXICO:  GUERRERO;16.5;-100.4;6.8;5000;0.6
;1950;12;2;VANUATU ISLANDS;-18.25;167.5;7.8;5000;0.3
;1950;12;9;CHILE-ARGENTINA;-23.5;-67.5;8.0;5000;0.3
;1950;12;10;PERU:  ICA,CHIMBOTE,HUARAZ,CAJAMARCA,CUZCO,MOQUEGUA;-14.25;-75.75;7.0;12000;0.4
;1950;12;14;TONGA ISLANDS;-19.5;-176.0;7.7;5000;0.4
;1950;12;14;MEXICO:  ACAPULCO;16.48;-98.22;7.5;5000;0.6
;1951;2;17;PAPUA NEW GUINEA;-7.0;146.0;7.2;5000;0.3
;1951;2;22;PAPUA NEW GUINEA:  BISMARCK SEA;-3.252;142.238;6.1;5000;0.3
;1951;3;19;PHILIPPINES;9.5;127.3;7.8;10000;0.4
;1951;5;6;EL SALVADOR:  JUCUAPA;13.0;-87.8;6.5;10000;0.6
;1951;5;16;PERU;-15.0;-69.5;7.9;12000;0.3
;1951;7;9;MEXICO:  OAXACA:  MIAHIATLAN;15.99;-96.605;6.0;5000;0.4
;1951;8;3;NICARAGUA:  GULF OF FONSECA:  POTOSI;13.0;-87.5;6.0;5000;0.6
;1951;8;6;NICARAGUA:  GULF OF FONSECA:  JINOTEGA;13.0;-87.5;5.5;5000;0.4
;1951;8;8;ITALY:  S;41.6;13.8;;10000;0.7
;1951;8;13;TURKEY:  KURSUNLU;40.8;33.4;6.7;5000;0.5
;1951;8;15;CALIFORNIA:  TERMINAL ISLAND;33.5;-118.2;;5000;0.8
;1951;8;21;HAWAII;19.7;-156.0;6.9;10000;0.8
;1951;10;22;TAIWAN;23.8;121.7;7.3;15000;0.6
;1951;11;18;CHINA:  TIBET (XIZANG PROVINCE);31.1;91.4;7.5;10000;0.3
;1951;11;24;TAIWAN;22.9;121.5;7.5;15000;0.6
;1951;12;8;INDIAN OCEAN:  S;-34.0;57.0;7.9;0;0.1
;1951;12;21;CHINA:   YUNNAN PROVINCE;26.7;100.0;6.3;12000;0.4
;1952;1;3;TURKEY:  PASINLER (HASANKALE), ERZURUM;40.029;41.544;5.7;1000;0.4
;1952;2;26;PERU-BOLIVIA;-14.1;-69.9;7.5;15000;0.3
;1952;3;4;JAPAN:  HOKKAIDO;42.15;143.85;8.1;150000;0.6
